20
Legnica 	51.20701 	16.15532
Grudziądz 	53.48375 	18.75356
Włocławek 	52.64833 	19.06774
Chełm 	51.14312 	23.47120
Gorzów_Wielkopolski 	52.73253 	15.23693
Piotrków_Trybunalski 	51.40517 	19.70302
Tarnów 	50.01210 	20.98584
Siedlce 	52.16760 	22.29016
Krosno 	49.68248 	21.76605
Tarnobrzeg 	50.57291 	21.67907
Łomża 	53.17812 	22.05903
Słupsk 	54.46415 	17.02848
Bielsko-Biała 	49.82238 	19.05838
Piekary_Śląskie 	50.37891 	18.92705
Żory 	50.04472 	18.70064
Elbląg 	54.15606 	19.40449
Kalisz 	51.76728 	18.08535
Leszno 	51.84199 	16.59375
Świnoujście 	53.91003 	14.24758
